"WEAPON","DMG","IMPACT","IMPACTp","PUNC","PUNCp","SLASH","SLASHp","HEAT","HEATp","COLD","COLDp","ELEC","ELECp","TOXIN","TOXINp","BLAST","BLASTp","RAD","RADp","GAS","GASp","MAG","MAGp","VIRAL","VIRALp","CORR","CORRp","VOID","VOIDp","CRITCHAN","CRITMULT","STATCHAN","FIRERATE","MULTI"
"Mara Detron","40","0","","0","","0","","0","","0","","0","","0","","0","","40","","0","","0","","0","","0","","0","","0.079999998","1.5","0.1371429","3.3333335","7"
"Prisma Skana","170","25.500002","","25.500002","","119","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.2","0.15999997","1",
"Prisma Grakata","15","6","","4.9999948","","4.0000052","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2.5","0.20999998","21.666668","1"
"Trumna","82","29","","0","","0","","53","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.30000001","4.666667","1"
"Sepulcrum","94","9.6000004","","26.880001","","11.52","","46","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.13999999","3.6666665","1"
"Onos","220","0","","220","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.4000001","0.22000003","1.4000001","1"
"Ekhein","340","340","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.4000001","0.14999998","0.76666671",
"Ruvox","170","170","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.2","0.19999999","1",
"Laetum","160","64","","0","","96","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2.2","0.22000003","2.5000002","1"
"Praedos","200","20","","20","","160","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.19999999","1.1666667",
"Innodem","360","36","","144","","180","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.22000003","0.75000006",
"Phenmor","140","0","","42","","98","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.19999999","3.0000002","1"
"Felarx","190","38","","68.400002","","83.599998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.055000007","3.0000002","4"
"Hikou","26","2.6000001","","15.6","","7.7999988","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.039999999","1.6","0.10000002","6.666667","1"
"Despair","58","2.9000001","","46.400002","","8.6999989","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","1.6","0.15999997","3.3333335","1"
"Kunai","45.999996","4.5999999","","34.5","","6.8999987","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.6","0.079999983","3.3333335","1"
"Talons","120","0","","0","","0","","0","","0","","0","","0","","120","","0","","0","","0","","0","","0","","0","","0.22","2","0.25999999","3.3333335","1"
"Cantare","90","0","","27.000002","","63","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.22000003","3.3333335","1"
"Castanas","160","0","","0","","0","","0","","0","","160","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.5","0.22000003","3.3333335","1"
"Hikou Prime","36","3.6000001","","30.6","","1.7999983","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","1.8","0.27999997","5.8333335","1"
"Spira Prime","60","6","","48","","5.9999981","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","3","0.13999999","3.3333335","1"
"Spira","82","8.1999998","","49.200001","","24.599997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.079999983","2.5000002","1"
